SCIAC Event Profiles,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Men,,,,,,,,,,
,,,,,,,,,,
,,,Prelims,,,,,Finals,,
Event,,1st,8th,9th,16th,,1st,8th,9th,16th
50 Freestyle,2025.0,20.17,20.85,20.88,21.32,,20.14,21.15,20.94,21.36
,2024.0,20.30,20.91,20.92,21.11,,20.46,21.27,21.09,21.52
,2023.0,20.60,21.00,21.09,21.49,,20.32,21.70,21.13,21.46
100 Freestyle,2025.0,44.54,46.08,46.09,46.88,,44.54,46.34,45.78,47.06
,2024.0,45.29,46.11,46.17,46.66,,44.76,48.27,45.68,47.04 
,2023.0,45.47,46.40,46.44,46.94,,45.10,46.49,46.38,47.50
200 Freestyle,2025.0,1:40.53,1:41.55,1:42.03,1:43.59,,1:39.48,1:41.62,1:41.58,1:44.60
,2024.0,1:39.16,1:42.48,1:42.59,1:44.74,,1:37.65,1:42.17,1:42.09,1:47.02
,2023.0,1:39.15,1:42.72,1:42.74,1:44.14,,1:38.44,1:41.93,1:42.20,1:45.11
500 Freestyle,2025.0,4:30.49,4:38.93,4:40.91,4:45.17,,4:25.13,4:42.02,4:38.27,4:47.86
,2024.0,4:30.61,4:37.28,4:37.67,4:44.81,,4:24.75,4:35.74,4:34.49,4:42.06
,2023.0,4:29.98,4:35.51,4:36.12,4:41.02,,4:26.87,4:34.94,4:35.98,4:41.76
1650 Freestyle,2025.0,,,,,,15:22.23,16:23.46,16:25.89,17:47.59
,2024.0,,,,,,15:26.81,16:21.36,16:45.61,18.04.71
,2023.0,,,,,,15:30.01,16:34.96,16:49.35,17:54.34
100 Back,2025.0,49.55,51.95,52.00,53.12,,48.90,52.74,51.35,54.78
,2024.0,49.59,51.39,51.79,53.36,,49.08,51.08,50.80,53.23
,2023.0,50.35,51.78,52.05,54.37,,48.74,52.08,51.27,54.88
200 Back,2025.0,1:49.85,1:53.75,1:54.07,2:00.86,,1:47.65,1:55.11,1:53.43,2:00.28
,2024.0,1:50.34,1:53.17,1:54.07,1:57.39,,1:47.54,1:53.92,1:52.82,1:58.64
,2023.0,1:50.43,1:54.92,1:55.94,1:59.16,,1:48.46,1:53.91,1:55.10,1:58.64
100 Breast,2025.0,54.31,56.52,56.71,57.43,,54.05,56.47,56.36,57.76
,2024.0,55.21,56.58,56.73,58.56,,55.11,56.85,56.75,58.89
,2023.0,55.98,56.92,57.23,58.50,,55.80,57.24,56.96,59.09
200 Breast,2025.0,2:00.15,2:05.13,2:05.19,2:08.34,,1:59.43,2:13.00,2:02.04,2:06.92
,2024.0,2:01.55,2:06.32,2:06.81,2:13.45,,1:59.90,2:05.74 ,2:05.39 ,2:13.49
,2023.0,2:00.29,2:04.89,2:05.44,2:10.38,,1:59.13,2:06.26,2:01.18,2:15.97
100 Fly,2025.0,48.98,50.48,50.50,51.59,,48.39,50.14,50.51,51.28
,2024.0,48.73,50.33,50.38,51.52,,47.55,50.45,49.93,51.69
,2023.0,48.85,50.49,50.50,51.26,,47.89,50.25,49.87,51.62
200 Fly,2025.0,1:49.14,1:54.01,1:54.12,1:56.88,,1:48.57,1:55.78,1:54.45,1:58.71
,2024.0,1:48.90,1:53.14,1:53.16,1:56.43,,1:45.75,2:00.42,1:52.88 ,1:57.79 
,2023.0,1:48.87,1:52.94,1:53.87,1:57.04,,1:47.26,1:54.12,1:51.81,1:57.36
200 IM,2025.0,1:50.34,1:53.15,1:53.65,1:54.94,,1:49.14,1:53.73,1:52.11,1:54.73
,2024.0,1:49.70,1:52.04,1:52.23,1:54.12,,1:46.56,1:52.88,1:51.28,1:55.20
,2023.0,1:50.34,1:53.19,1:53.28,1:55.64,,1:48.74,1:54.48,1:53.18,1:56.71
400 IM,2025.0,4:00.65,4:07.25,4:07.35,4:20.78,,3:58.62,4:15.36,4:03.43,4:27.11
,2024.0,3:58.36,4:06.72,4:08.30,4:22.75,,3:55.53,4:09.61,4:03.46,4:29.72
,2023.0,4:02.04,4:11.25,4:13.61,4:22.67,,3:53.15,4:10.36,4:10.09,4:25.91
200 Medley Relay,2025.0,,,,,,1:28.38,1:42.65,1:32.42,1:39.34
,2024.0,,,,,,1:28.94,1:41.32,1:30.47,1:44.55
,2023.0,,,,,,1:29.82,1:40.62,1:31.14,1:51.70
400 Medley Relay,2025.0,,,,,,3:17.51,3:46.18,3:22.84,3:31.24
,2024.0,,,,,,3:16.28,3:48.62,3:18.96,4:00.66
,2023.0,,,,,,3:17.81,3:32.56,3:22.63,3:55.80
200 Free Relay,2025.0,,,,,,1:20.90,1:29.47,1:24.11,1:33.68
,2024.0,,,,,,1:20.81,1:29.36,1:22.03,1:35.54
,2023.0,,,,,,1:21.99,1:29.65,1:23.82,1:35.04
400 Free Relay,2025.0,,,,,,2:59.73,3:20.40,3:03.81,3:23.24
,2024.0,,,,,,2:57.52 ,3:16.36,3:02.76 ,3:32.55
,2023.0,,,,,,3:00.58,3:14.97,3:04.69,3:26.50
800 Free Relay,2025.0,,,,,,6:37.82,7:25.04,6:45.33,7:26.25
,2024.0,,,,,,6:36.41,7:14.26,6:43.82,7:39.07
,2023.0,,,,,,6:37.13,7:15.69,6:49.80,7:47.86
