SCIAC Event Profiles,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Women,,,,,,,,,,
,,,,,,,,,,
,,,Prelims,,,,,Finals,,
Event,,1st,8th,9th,16th,,1st,8th,9th,16th
50 Freestyle,2025.0,23.13,24.21,24.24,24.85,,22.84,24.27,23.98,24.75
,2024.0,23.06,23.87,24.02,24.58,,22.89,23.86,24.14,24.64
,2023.0,23.21,24.24,24.24,24.83,,22.93,24.20,24.24,24.88
100 Freestyle,2025.0,50.17,52.36,52.44,53.80,,49.95,52.33,52.21,53.77
,2024.0,50.47,52.05,52.60,53.84,,49.83 ,52.24,52.18 ,54.65 
,2023.0,50.96,53.22,53.24,54.47,,50.42,53.73,52.73,54.72
200 Freestyle,2025.0,1:51.28,1:55.84,1:56.23,1:59.10,,1:49.78,1:55.53,1:56.32,1:59.42
,2024.0,1:51.64,1:55.85,1:56.33,1:59.61,,1:51.92,1:55.66,1:56.39,2:00.83
,2023.0,1:53.08,1:55.89,1:56.35,1:58.94,,1:52.15,1:54.92,1:55.35,1:58.86
500 Freestyle,2025.0,5:01.52,5:08.10,5:12.38,5:20.36,,4:58.89,5:11.33,5:11.42,5:19.28
,2024.0,4:58.57,5:07.42,5:10.61,5:18.54,,4:57.37,5:10.65,5:05.75,5:20.13
,2023.0,5:03.25,5:11.58,5:14.64,5:26.51,,5:00.21,5:11.99,5:11.86,5:23.21
1650 Freestyle,2025.0,,,,,,17:05.49,17:55.30,17:55.58,18:33.63
,2024.0,,,,,,17:07.58,18:02.32,18:04.97,19:01.31
,2023.0,,,,,,17:21.98,18:07.37,18:22.72,19:52.98
100 Back,2025.0,56.04,58.56,58.63,59.80,,56.04,58.75,57.96,59.66
,2024.0,57.23,58.74,58.88,1:01.39,,56.93,59.46,58.67,1:03.30
,2023.0,56.34,59.24,59.80,1:01.42,,56.68,59.52,59.92,1:01.77
200 Back,2025.0,2:02.19,2:08.59,2:08.90,2:12.92,,2:00.61,2:07.10,2:07.01,2:13.58
,2024.0,2:05.93,2:10.18,2:12.31,2:17.00,,2:04.62,2:11.53 ,2:09.87 ,2:15.86
,2023.0,2:03.66,2:09.85,2:09.91,2:14.69,,2:02.54,2:10.70,2:09.29,2:15.52
100 Breast,2025.0,1:03.68,1:06.26,1:07.75,1:09.26,,1:03.54,1:06.12,1:06.59,1:09.60
,2024.0,1:04.35,1:07.50,1:07.54,1:09.04,,1:03.53,1:08.10,1:07.47,1:09.11
,2023.0,1:02.51,1:08.28,1:08.48,1:11.05,,1:01.59,1:08.48,1:09.10,1:11.00
200 Breast,2025.0,2:19.59,2:25.45,2:26.02,2:33.60,,2:18.13,2:27.97,2:25.51,2:33.94
,2024.0,2:20.91,2:28.27,2:28.29,2:31.28,,2:20.79 ,2:28.32,2:26.02,2:32.34 
,2023.0,2:16.83,2:28.81,2:28.83,2:35.04,,2:14.30,2:30.71,2:28.62,2:37.10
100 Fly,2025.0,54.78,57.32,57.68,1:00.03,,54.39,57.40,57.49,59.33
,2024.0,54.50,57.64,57.69,59.29,,53.76,57.38,57.03,59.11
,2023.0,54.15,58.31,59.58,1:01.36,,53.96,58.99,57.90,1:00.96
200 Fly,2025.0,2:03.63,2:11.01,2:12.74,2:19.44,,2:01.30,2:12.87,2:09.09,2:18.92
,2024.0,2:05.28,2:10.76,2:11.12,2:20.48,,2:02.40,2:11.10,2:10.50,2:20.25
,2023.0,2:04.42,2:11.27,2:14.62,2:21.15,,2:03.68,2:12.43,2:11.43,2:24.20
200 IM,2025.0,2:04.96,2:08.90,2:09.29,2:12.05,,2:03.57,2:08.63,2:07.52,2:12.73
,2024.0,2:04.98,2:11.12,2:11.20,2:15.00,,2:04.18,2:10.33,2:10.10,2:15.35
,2023.0,2:02.76,2:07.97,2:09.34,2:13.82,,2:00.69,2:10.25,2:08.29,2:13.72
400 IM,2025.0,4:31.16,4:42.49,4:44.07,4:52.19,,4:27.54,4:41.78,4:39.85,4:52.43
,2024.0,4:27.20,4:44.01,4:44.74,5:04.88,,4:23.82,4:45.43,4:42.83,5:04.14
,2023.0,4:26.39,4:39.91,4:40.31,5:03.56,,4:19.41,4:38.32,4:39.23,5:01.21
200 Medley Relay,2025.0,,,,,,1:42.21,1:54.32,1:45.06,1:53.90
,2024.0,,,,,,1:41.79,1:55.88,1:43.71,1:59.14
,2023.0,,,,,,1:41.67,2:00.17,1:45.41,2:00.97
400 Medley Relay,2025.0,,,,,,3:46.45,4:09.06,3:50.57,4:26.68
,2024.0,,,,,,3:45.00,4:23.08,3:49.03,4:24.75
,2023.0,,,,,,3:43.07,4:24.99,3:49.51,4:20.43
200 Free Relay,2025.0,,,,,,1:32.05,1:42.82,1:34.77,1:49.21
,2024.0,,,,,,1:32.08,1:43.89,1:35.42,1:48.48
,2023.0,,,,,,1:33.79,1:48.55,1:36.85,1:47.11
400 Free Relay,2025.0,,,,,,3:21.54,3:45.92,3:27.46,4:03.92
,2024.0,,,,,,3:21.64,3:48.54,3:27.94,4:09.17
,2023.0,,,,,,3:26.15,3:58.12,3:31.05,3:52.76
800 Free Relay,2025.0,,,,,,7:25.55,8:19.81,7:35.30,8:20.91
,2024.0,,,,,,7:24.79,8:24.91,7:34.01,8:53.80
,2023.0,,,,,,7:29.28,8:38.51,7:39.54,8:44.13
